Time,CCA1,SIG5,BLRP,Condition
13,0.20166044,0.624165274,1.301341855,Chill
13,0.314253344,1.494849249,1.404444876,Chill
13,0.060371021,0.133971683,1.222640278,Chill
15,0.066985841,0.228457863,0.566441943,Chill
15,0.049377582,0.109575715,0.496546248,Chill
15,0.081899588,0.105843164,0.823591017,Chill
15,0.062934722,0.26425451,0.586417475,Chill
15,0.295248165,0.26061644,1.164733586,Chill
15,0.066523136,0.169575541,0.726986259,Chill
17,0.223756268,0.086569342,0.702222438,Chill
17,0.070316155,0.061639544,0.637280314,Chill
17,0.13030822,0.111878134,0.566441943,Chill
17,0.111878134,0.092782723,0.637280314,Chill
17,0.119908015,0.10732068,0.303548721,Chill
17,0.070805243,0.116629124,0.392292049,Chill
19,1.117287138,0.110337875,0.806641759,Chill
19,1.802500925,0.140632311,0.473028823,Chill
19,2.639015822,0.164938489,0.712025098,Chill
19,1.569168196,0.142595464,0.91383145,Chill
19,1.580082624,0.26425451,0.650670928,Chill
19,1.356604327,0.150725978,0.806641759,Chill
21,5.278031643,0.463294031,0.47963206,Chill
21,5.540437872,0.267943366,0.535886731,Chill
21,2.867910496,0.151774361,0.140632311,Chill
21,5.617779503,0.432268616,0.590496331,Chill
21,7.568461174,0.952637998,0.752623374,Chill
23,16.22335168,1.717130873,2.531513188,Chill
23,14.2214829,1.2397077,2.084931522,Chill
23,20.96629446,1.505246747,2.345669898,Chill
23,18.63573738,1.375541818,2.313376368,Chill
23,13.92880901,0.773782497,1.433955248,Chill
23,16.67945217,1.222640278,1.602139755,Chill
25,49.8665331,3.972369982,5.42641731,Chill
25,16.79546694,1.569168196,3.20427951,Chill
25,15.88947993,1,0.952637998,Chill
25,14.6213032,1.222640278,2.394957409,Chill
25,17.26765178,1.658639092,2.770218936,Chill
25,16.33619401,0.852634892,1.635804117,Chill
27,6.634556367,2.887858391,1.328685814,Chill
27,31.77895985,9.447941291,6.233316637,Chill
27,16.67945217,2.928171392,5.063026376,Chill
27,20.96629446,3.20427951,4.228072162,Chill
27,3.784230587,1.815038311,0.550952558,Chill
27,12.46663327,3.031433133,3.458148925,Chill
29,4.924577653,1.347233577,1.117287138,Chill
29,4.377174805,1.853176124,2.549121255,Chill
29,5.351710219,1.484523571,1.453972517,Chill
29,5.241573615,1.180992661,1.464085696,Chill
29,3.458148925,1.624504793,1.366040257,Chill
31,3.706352248,3.095129987,2.531513188,Chill
31,3.340351678,2.531513188,1.790050142,Chill
31,1.385109468,0.489710149,1.394743666,Chill
31,1.647182035,1.602139755,2.361985323,Chill
33,0.840896415,0.539614118,0.876605721,Chill
33,1.049716684,0.586417475,0.840896415,Chill
33,0.251738888,0.460093825,1.526259209,Chill
33,1.484523571,0.858565436,0.763129604,Chill
35,1.681792831,2.770218936,6.062866266,Chill
35,0.632878297,0.650670928,3.160165247,Chill
35,0.543367431,0.664342907,4.626752736,Chill
35,2.549121255,1.180992661,5.464161027,Chill
35,2.867910496,3.410539567,6.276672783,Chill
35,4.563054863,2.188587403,6.105036836,Chill
37,1.148698355,2.37841423,0.659753955,Chill
37,0.806641759,0.784584098,6.02098699,Chill
37,0.332171454,0.287174589,2.620786808,Chill
37,2.0139111,1.283425898,5.098242509,Chill
37,1.117287138,1.156688184,7.835362381,Chill
39,1.547564994,1.424050196,1.635804117,Chill
39,2.67585511,1.2397077,1.292352831,Chill
39,0.655196702,1.693490625,3.073750363,Chill
39,0.287174589,0.406126198,1.337927555,Chill
39,0.40332088,0.40332088,1.802500925,Chill
11,0.128514228,0.150725978,1.00695555,Low light
11,0.051118879,0.071297732,0.637280314,Low light
11,0.085377516,0.188155843,1.071773463,Low light
11,0.149684838,0.295248165,1.765405993,Low light
11,0.102948877,0.149684838,1.117287138,Low light
13,0.06886907,0.144586023,0.628506687,Low light
13,0.021050525,0.078563336,0.757858283,Low light
13,0.076946526,0.116629124,1.042465761,Low light
13,0.076946526,0.132127255,1.117287138,Low light
13,0.085377516,0.152830035,1.01395948,Low light
13,0.092141826,0.076946526,0.535886731,Low light
15,0.063372467,0.074325445,0.632878297,Low light
15,0.076946526,0.07588718,0.678302164,Low light
15,0.059539875,0.063813258,0.368567304,Low light
15,0.069348092,0.093428078,0.846745312,Low light
15,0.042985682,0.079660039,0.678302164,Low light
15,0.094732285,0.083042863,1,Low light
17,0.939522749,0.175555609,0.23981603,Low light
17,0.392292049,0.088388348,0.38958229,Low light
17,0.570381858,0.094077922,0.469761375,Low light
17,0.637280314,0.085377516,0.450625231,Low light
17,0.476318999,0.120742041,0.598739352,Low light
17,0.426317446,0.102237757,0.641712949,Low light
19,3.580100284,0.262429171,0.590496331,Low light
19,2.713208655,0.194791145,0.420448208,Low light
19,3.138336392,0.217637641,0.514056913,Low light
19,6.190259974,0.628506687,1.172834949,Low light
19,3.530811985,0.279321785,0.547146851,Low light
19,2.428389769,0.166085727,0.476318999,Low light
21,12.12573253,0.959264119,0.598739352,Low light
21,9.646462622,0.655196702,0.496546248,Low light
21,7.260153243,0.162667732,0.784584098,Low light
21,8.282119391,0.678302164,,Low light
21,9.9176616,0.673616788,0.817902059,Low light
23,22.31589866,0.835087919,2.848100391,Low light
23,14.52030649,0.784584098,1.840375301,Low light
23,12.04197398,0.607097442,1.536875181,Low light
23,10.41073484,0.763129604,1.337927555,Low light
23,15.88947993,0.979420298,2.128740365,Low light
25,11.39240156,0.628506687,2.4794154,Low light
25,11.15794933,0.732042848,2.411615655,Low light
25,7.310651602,0.510506063,1.958840595,Low light
25,9.317868692,0.768437591,2.496661098,Low light
25,10.12605275,0.737134609,1.265756594,Low light
25,9.000467878,0.926588062,1.815038311,Low light
27,17.1483754,0.926588062,3.386981249,Low light
27,4.112455307,0.447512535,3.160165247,Low light
27,10.33882265,0.979420298,2.445280555,Low light
27,7.835362381,0.582366793,1.958840595,Low light
27,9.063071082,1.00695555,2.808889751,Low light
27,5.735820992,0.615572207,1.635804117,Low light
29,7.781239579,1.693490625,1.647182035,Low light
29,1.248330549,0.641712949,1.337927555,Low light
29,6.821079134,1.265756594,0.864537231,Low light
